Date,Open,High,Low,Close,Volume,Year,Month,Day,MA5,MA10,MA20,MA50,RSI,MACD,VWAP,Upper_band,Lower_band,OBV,+DI,-DI,ADX,ATR,Open_yes,High_yes,Low_yes,Close_yes,Volume_yes,Prev_Close
2020-06-11,98.38,98.99,94.88,95.17,10976900.0,2020,6,11,102.606,101.446,96.70099990000001,90.50399998,69.92611907866143,3.9341062409050096,88.3566491893072,108.6155008636781,84.78649893632193,23290800.0,26.680068925904664,44.83055715106256,29.778029993933018,2.4871428571428575,103.0,103.15,101.71,102.12,5194200.0,102.12
2020-06-12,97.8,97.8,94.74,96.43,7416400.0,2020,6,12,101.384,101.117,97.15850005,90.75259998000001,51.58813263525305,3.2309078622901666,88.43356003001158,108.00054144608065,86.31645865391936,12313900.0,11.510611735330828,55.20599250936322,31.4659653208689,2.8607142857142875,98.38,98.99,94.88,95.17,10976900.0,95.17
2020-06-15,93.9,98.080002,93.44,97.84,8645300.0,2020,6,15,100.12800000000001,100.902,97.65250005,91.09659998,54.55782312925171,2.743662319360695,88.49408536929185,107.2931111004639,88.0118889995361,19730300.0,7.534082755321671,50.87299689069597,33.90747547163016,2.9864285714285725,97.8,97.8,94.74,96.43,7416400.0,96.43
2020-06-16,101.25,101.34,97.72,99.040001,6054400.0,2020,6,16,98.83800000000001,100.732,98.19500005,91.45059998,52.183249821045095,2.4431290612893406,88.57582528980296,106.42756293917503,89.96243716082498,28375600.0,1.519761444013929,48.258122597235285,37.742158564565806,3.055000142857143,93.9,98.080002,93.44,97.84,8645300.0,97.84
2020-06-17,99.0,100.24,98.89,99.21,3405500.0,2020,6,17,98.1200002,100.5620001,98.59500005,91.8542,48.397066496830185,2.275553180335578,88.6395277995111,106.10992135981044,91.08007874018955,34430000.0,3.1380751679184207,52.48721280859069,41.8117596780088,3.0728572857142873,101.25,101.34,97.72,99.040001,6054400.0,99.040001
2020-06-18,98.69,99.42,97.85,98.45,4392400.0,2020,6,18,97.53800020000001,100.0720001,98.98000005,92.1458,51.521298174442194,2.131890479527499,88.67559987270388,105.71511150721172,92.24488859278829,37835500.0,-1.0732172156824669,55.139515614618816,46.76927363473803,2.995000142857144,99.0,100.24,98.89,99.21,3405500.0,99.21
2020-06-19,99.97,99.98,95.78,95.78,10304000.0,2020,6,19,98.1940002,99.7890001,99.25500005,92.4316,49.742981415579294,1.9344124036291106,88.71843306937502,105.37443758125723,93.13556251874279,33443100.0,0.4128217380853978,55.46381469335525,50.73522896487292,2.9414287142857165,98.69,99.42,97.85,98.45,4392400.0,98.45
2020-06-22,96.85,99.54,96.019997,99.51,6918200.0,2020,6,22,98.0640002,99.0960001,99.33100005,92.64119999999998,43.037037037037024,1.5446570746075565,88.79028751660388,105.22275663585447,93.43924346414553,23139100.0,0.45987581237637726,55.07012853207039,54.536466929843876,3.1064287142857165,99.97,99.98,95.78,95.78,10304000.0,95.78
2020-06-23,101.15,102.22,100.71,101.92,6499000.0,2020,6,23,98.3980002,98.6180001,99.61900005,92.8956,47.917372163901135,1.5192401407632161,88.86302629738708,104.89279582358527,94.34520427641472,30057300.0,-2.965257669163166,51.47155558877823,59.61871142980829,3.2278572857142884,96.85,99.54,96.019997,99.51,6918200.0,99.51
2020-06-24,100.94,101.85,98.089996,100.080002,8611600.0,2020,6,24,98.974,98.5470001,99.88400005000001,93.2448,46.16730836541827,1.6742640228992656,88.94572891810286,105.05492032464642,94.7130797753536,36556300.0,-5.28464480450692,58.17645460755474,67.33087465729646,3.1492858571428592,101.15,102.22,100.71,101.92,6499000.0,101.92
2020-06-25,99.23,101.68,98.8,101.4,11531400.0,2020,6,25,99.1480004,98.3430003,99.89450015,93.49700004,47.824513982923406,1.6298610812919208,89.0384004041787,105.06615353589147,94.72284676410852,27944700.0,-4.629629002308649,62.37579100599029,74.93984115011605,3.1628575714285736,100.94,101.85,98.089996,100.080002,8611600.0,100.080002
2020-06-26,98.5,98.78,93.57,93.67,24918500.0,2020,6,26,99.7380004,98.9660003,100.04150015,93.82420002,47.61558028621485,1.681797522126132,89.17465264523032,105.20860364791046,94.87439665208954,39476100.0,-6.879999056457245,60.96000992548425,83.10242233280832,3.1250004285714317,99.23,101.68,98.8,101.4,11531400.0,101.4
2020-06-29,93.7,96.0,93.7,95.87,9624200.0,2020,6,29,99.31600040000001,98.6900003,99.79600015,93.97160002000001,34.205827984036645,1.0866845054335528,89.27923279334692,105.67324761931691,93.91875268068308,14557600.0,-11.0422071163584,62.65253898949313,92.18042555966447,3.570714714285718,98.5,98.78,93.57,93.67,24918500.0,93.67
2020-06-30,96.0,98.3,95.64,98.050003,9065500.0,2020,6,30,98.58800040000001,98.49300029999999,99.61250015,94.09080002,40.105385258241846,0.7835425749144775,89.33792492841182,105.74694433148886,93.47805596851114,24181800.0,-15.398333484145818,61.77170886582927,102.24373138895693,3.604286142857146,93.7,96.0,93.7,95.87,9624200.0,95.87
2020-07-01,98.5,98.72,97.11,97.4,5733800.0,2020,7,1,97.814001,98.3940005,99.47800029999999,94.29380008,44.320405925771865,0.7110123265030808,89.41039606016007,105.62629938809307,93.32970121190691,33247300.0,-9.384673833048714,62.67415681027586,110.08944279395865,3.6914290000000025,96.0,98.3,95.64,98.050003,9065500.0,98.050003
2020-07-02,98.78,99.66,98.019997,98.43,5354900.0,2020,7,2,97.2780006,98.21300049999999,99.14250030000001,94.53780008,53.775820943053105,0.5942318375596329,89.45221185392556,104.94937412133078,93.33562647866924,27513500.0,-0.5863191418476599,58.69707812850227,112.69829455398816,3.2892861428571445,98.5,98.72,97.11,97.4,5733800.0,97.4
2020-07-06,99.62,100.029999,99.040001,99.95,4995000.0,2020,7,6,96.6840006,98.21100050000001,99.0000003,94.73100008,53.41296905030928,0.5781305218625192,89.49588109526903,104.72531984888602,93.27468075111398,32868400.0,4.110496692530822,61.436466991849656,113.6451790976135,3.2321432857142867,98.78,99.66,98.019997,98.43,5354900.0,98.43
2020-07-07,99.22,99.55,96.92,97.07,6352900.0,2020,7,7,97.9400006,98.6280005,98.8620003,94.98300008,53.58721498896871,0.6801807101697648,89.5430995555932,104.3384401799925,93.38556042000751,37863400.0,4.619750915440612,65.19783710984335,113.13606461978074,3.0150002142857155,99.62,100.029999,99.040001,99.95,4995000.0,99.95
